Id_Municipio;Municipio;Populacao
3989;SAO GABRIEL;19210
3947;UIBAI;13880
3971;XIQUE XIQUE;46979
3381;BOQUIRA;19829
3403;CAETITE;54572
3431;CANDIBA;13425
3441;CARINHANHA;30375
3275;FEIRA DA MATA;5825
3533;GUANAMBI;93065
3551;IBIPITANGA;14316
3569;IGAPORA;16047
3285;IUIU;11532
3649;JACARACI;14901
3289;LAGOA REAL;14546
3689;LICINIO DE ALMEIDA;12208
3697;MACAUBAS;43725
3705;MALHADA;15834
3295;MATINA;10629
3737;MORTUGABA;11487
3769;PALMAS DE MONTE ALTO;20677
3791;PINDAI;15146
3829;RIACHO DE SANTANA;32103
3899;SEBASTIAO LARANJEIRAS;9610
3991;TANQUE NOVO;17770
3951;URANDI;15794
3377;BOM JESUS DA LAPA;68704
3387;BREJOLANDIA;9377
3421;CANAPOLIS;10612
3461;COCOS;19817
3481;CORIBE;14464
3485;CORRENTINA;34179
9859;JABORANDI;9592
3775;PARATINGA;30671
3863;SANTA MARIA DA VITORIA;40467
3865;SANTANA;25520
3031;SAO FELIX DO CORIBE;15740
3039;SERRA DO RAMALHO;36119
3905;SERRA DOURADA;17580
3041;SITIO DO MATO;13935
3917;TABOCAS DO BREJO VELHO;12368
3339;ARACATU;14422
3355;BARRA DA ESTIVA;27582
3383;BOTUPORA;11411
3391;BRUMADO;74095
3399;CACULE;
3273;CATURAMA;9115
3475;CONTENDAS DO SINCORA;4490
3501;DOM BASILIO;12309
3309;ERICO CARDOSO;10948
3095;GUAJERU;8225
3539;IBIASSUCE;10754
3543;IBICOARA;21690
3645;ITUACU;18493
3673;JUSSIAPE;7585
3691;LIVRAMENTO DE NOSSA SENHORA;46249
3707;MALHADA DE PEDRAS;8972
3773;PARAMIRIM;21009
3835;RIO DE CONTAS;13627
3837;RIO DO ANTONIO;13520
3839;RIO DO PIRES;10801
3919;TANHACU;21741
3395;CAATIBA;6224
3517;FIRMINO ALVES;5006
3545;IBICUI;14306
3571;IGUAI;21897
3617;ITAMBE;25108
3629;ITAPETINGA;68735
3637;ITARANTIM;17517
3643;ITORORO;16945
3695;MACARANI;22596
3701;MAIQUINIQUE;9011
3809;POTIRAGUA;10636
3027;RIBEIRAO DO LARGO;10039
3265;BONITO;16393
3401;CAEM;10729
3409;CALDEIRAO GRANDE;13566
3083;CAPIM GROSSO;35228
3651;JACOBINA;86649
3725;MIGUEL CALMON;25317
3729;MIRANGABA;16185
3017;OUROLANDIA;20037
3025;QUIXABEIRA;9815
3033;SAO JOSE DO JACUIPE;10556
3895;SAUDE;10715
3911;SERROLANDIA;13831
3047;UMBURANAS;13888
3961;VARZEA DO POCO;8344
3995;VARZEA NOVA;13847
3351;BAIXA GRANDE;18680
3577;IPECAETA;14064
3581;IPIRA;59264
3693;MACAJUBA;10758
3703;MAIRI;18161
3743;MUNDO NOVO;17417
